GRID_ID,occ,eh,GRTS_No,STATE,stabb,Albers_X,Albers_Y,Latitude,Longitude,Sample,Surveyed2017,Surveyed2022,Grouping1,Grouping2,fire5prop_2022,fire20prop_2022,HumanMod_2022,NDVI_2022,SnowMod_PrimaryHab,ClusterCells,StdMayDepth_2022,MeanMayDepth_2022,StdMaySWE_2022,MeanMaySWE_2022
10737,1,0,Id-163,Wyoming,WY,-1200147.024,2242646.551,42.34515668,-110.719759,Yes,Yes,Yes,NorthernRockies,NorthernRockies,0.01,0.03,5.606210232,57.29999924,0.97,182,734.0409397,1412.705028,263.7041204,568.4787415
10737,2,0,Id-163,Wyoming,WY,-1200147.024,2242646.551,42.34515668,-110.719759,Yes,Yes,Yes,NorthernRockies,NorthernRockies,0.01,0.03,5.606210232,57.29999924,0.97,182,734.0409397,1412.705028,263.7041204,568.4787415
10737,3,0,Id-163,Wyoming,WY,-1200147.024,2242646.551,42.34515668,-110.719759,Yes,Yes,Yes,NorthernRockies,NorthernRockies,0.01,0.03,5.606210232,57.29999924,0.97,182,734.0409397,1412.705028,263.7041204,568.4787415
10737,4,0,Id-163,Wyoming,WY,-1200147.024,2242646.551,42.34515668,-110.719759,Yes,Yes,Yes,NorthernRockies,NorthernRockies,0.01,0.03,5.606210232,57.29999924,0.97,182,734.0409397,1412.705028,263.7041204,568.4787415
11110,1,0,Id-099,Wyoming,WY,-1177275.582,2284202.503,42.74386951,-110.520883,Yes,Yes,Yes,NorthernRockies,NorthernRockies,0.07,0.14,6.138780117,63.5,0.7,182,673.7962171,1386.045198,219.6689985,541.6731628
11110,2,0,Id-099,Wyoming,WY,-1177275.582,2284202.503,42.74386951,-110.520883,Yes,Yes,Yes,NorthernRockies,NorthernRockies,0.07,0.14,6.138780117,63.5,0.7,182,673.7962171,1386.045198,219.6689985,541.6731628
11110,3,0,Id-099,Wyoming,WY,-1177275.582,2284202.503,42.74386951,-110.520883,Yes,Yes,Yes,NorthernRockies,NorthernRockies,0.07,0.14,6.138780117,63.5,0.7,182,673.7962171,1386.045198,219.6689985,541.6731628
11110,4,0,Id-099,Wyoming,WY,-1177275.582,2284202.503,42.74386951,-110.520883,Yes,Yes,Yes,NorthernRockies,NorthernRockies,0.07,0.14,6.138780117,63.5,0.7,182,673.7962171,1386.045198,219.6689985,541.6731628
11116,1,0,Id-051,Wyoming,WY,-1088752.004,2267967.48,42.71617333,-109.4159788,Yes,Yes,Yes,NorthernRockies,NorthernRockies,0.01,0.02,4.345330238,41,0.61,182,515.0922224,810.6248588,165.5179478,276.5271088
11116,2,0,Id-051,Wyoming,WY,-1088752.004,2267967.48,42.71617333,-109.4159788,Yes,Yes,Yes,NorthernRockies,NorthernRockies,0.01,0.02,4.345330238,41,0.61,182,515.0922224,810.6248588,165.5179478,276.5271088
11116,3,0,Id-051,Wyoming,WY,-1088752.004,2267967.48,42.71617333,-109.4159788,Yes,Yes,Yes,NorthernRockies,NorthernRockies,0.01,0.02,4.345330238,41,0.61,182,515.0922224,810.6248588,165.5179478,276.5271088
11116,4,0,Id-051,Wyoming,WY,-1088752.004,2267967.48,42.71617333,-109.4159788,Yes,Yes,Yes,NorthernRockies,NorthernRockies,0.01,0.02,4.345330238,41,0.61,182,515.0922224,810.6248588,165.5179478,276.5271088
